1a9n	2	2	M	A	B	P57784	Q62189	U	N
1am4	2	2	M	A	D	Q5FWK3	P60766	U	E
1d3b	2	2	M	A	B	P62320	P27048	N	N
1doa	2	2	M	A	B	P60766	Q99PT1	E	U
1dow	2	2	M	A	B	P26231	Q02248	U	N
1ds6	2	2	M	A	B	Q3TLP8	Q61599	U	U
1e0a	2	2	M	A	B	P60766	G5E884	E	U
1ef1	2	4	C2	A	C	P26041	P26043	U	U
1f3m	2	4	A	A	C	G5E884	Q8CIN4	U	U
1f3u	2	2	M	A	B	Q8R0A0	Q3THK3	N	N
1fbv	2	2	M	A	C	P22682	P68037	E	U
1frt	3	3	M	A	B	Q61559	P01887	E	E
1fs1	2	4	C2	A	B	A0A087WQ11	Q9WTX5	E	U
1fxw	2	2	M	A	F	Q61205	Q61206	E	N
1go4	2	8	A	A	E	Q9Z1B5	Q9WTX8	E	E
1gp2	3	3	M	A	B	Q9DC51	P62874	U	U
1h27	2	2	M	B	E	P51943	P46414	E	N
1h28	2	2	M	B	E	P51943	Q64701	E	E
1hh4	2	2	M	A	D	Q3TLP8	Q99PT1	U	U
1i2m	2	2	M	A	B	P62827	Q8VE37	U	U
1i3o	3	6	C2	B	E	P70677	Q60989	E	E
1ibr	2	2	M	A	B	P62827	P70168	U	U
1ikn	3	3	M	C	D	P25799	Q9Z1E3	N	U
1j2j	2	2	M	A	B	P84078	Q8R0H9	U	U
1jn5	2	2	M	B	C	Q99JX7	Q80U93	U	U
1k5d	3	3	M	A	B	P62827	P34022	U	E
1kps	2	2	M	A	B	P63280	P46061	E	U
1ldp	2	2	M	H	L	P01899	P01887	N	E
1ldp	2	2	M	H	Q	P01899	Q60597	N	U
1ldp	2	2	M	L	Q	P01887	Q60597	E	U
1mfq	2	2	M	B	C	Q9D104	P14576	U	N
1ni4	2	4	C2	A	B	P35486	Q9D051	N	N
1onv	2	2	M	A	B	Q3THK3	Q7TSG2	N	E
1ow3	2	2	M	A	B	Q5FWK3	Q9QUI0	U	U
1q5w	2	2	M	A	B	P60670	P62983	U	N
1qew	2	2	M	A	C	P01899	Q4U221	N	E
1qgk	2	2	M	A	B	P70168	P52293	U	N
1r4m	3	3	M	B	I	Q8C878	P29595	N	E
