1001	16881	P37913	0.43695	UN	mouse
1001	18538	P17918	0.413683333333	NED	mouse
1001	18968	P33609	0.4129	NED	mouse
1001	18969	P33611	0.3709	NED	mouse
1001	18971	P52431	0.39875	NED	mouse
1001	18972	O35654	0.336466666667	NA	mouse
1001	67967	Q9EQ28	0.316966666667	NA	mouse
1001	69745	Q9CWP8	0.00105833333333	NA	mouse
1001	19075	P20664	0.4471	NED	mouse
1001	19076	P33610	0.399208333333	NED	mouse
1001	21969	Q04750	0.133166666667	UN	mouse
1001	21973	Q01320	0.424425	UN	mouse
1002	12361	O70589	0.1819	NA	mouse
1002	13383	Q811D0	0.1819	NA	mouse
101	116848	Q91YE5	0.206	NA	mouse
101	93762	Q91ZW3	0.206	NED	mouse
1014	12936	O88689	NA	NA	mouse
1014	93709	Q91XZ0	NA	NA	mouse
1015	12936	O88689	NA	NA	mouse
1015	93700	Q91XX7	NA	NA	mouse
1016	12936	O88689	NA	NA	mouse
1016	93711	Q91XY5	NA	NA	mouse
1017	12936	O88689	NA	NA	mouse
1017	93701	Q91XX6	NA	NA	mouse
1018	12939	Q91Y13	NA	NA	mouse
1018	93701	Q91XX6	NA	NA	mouse
1019	12939	Q91Y13	NA	NA	mouse
1019	93711	Q91XY5	NA	NA	mouse
102	56739	Q8C5S7	0.0763333333333	NA	mouse
102	140557	Q920F6	0.174	NA	mouse
102	13006	Q9CW03	0.0199	UN	mouse
102	20962	P70281	0.137166666667	NA	mouse
1020	12939	Q91Y13	NA	NA	mouse
1020	93700	Q91XX7	NA	NA	mouse
1021	12939	Q91Y13	NA	NA	mouse
1021	93709	Q91XZ0	NA	NA	mouse
1022	14191	P14234	0.0244	NA	mouse
1022	232906	Q91YM2	-0.074	ED	mouse
1022	19229	Q9QVP9	0.096	NA	mouse
1035	18417	Q60771	0.04925	NA	mouse
1035	16412	P09055	0.0821	UN	mouse
1035	56434	Q9QY33	0.13305	NA	mouse
1043	13052	P97792	0.0774	NA	mouse
1043	140887	Q91XL2	0.0774	ED	mouse
1044	13052	P97792	0.164	NA	mouse
1044	83964	Q9D8B7	0.164	NA	mouse
1050	67381	Q9CQA5	-0.0434	NED	mouse
1050	22337	P48281	-0.0434	NA	mouse
106	17928	P12979	0.0228	NA	mouse
106	20807	Q9JM73	0.13385	NA	mouse
106	21423	P15806	0.10325	NA	mouse
